case_id,task,candidate_toolkits,expected_tools,expected_count,plausibility_score,recall_all,recall_primary,precision_all,missed_count,missed_tools,related_only_tools,extra_count,extra_tools,primary_tools,related_tools,returned_toolkits,cross_toolkit_extra_prefixes,api_search_latency_sec,end_to_end_latency_sec,error,no_results_returned,raw_result_path
synthetic-011,"Please clean up our team's calendar permissions by updating an existing sharing rule on our primary project calendar via patch semantics, and also locate and fetch a specific important email message by its ID to review an attached agreement referenced in the calendar notes.",gmail; googlecalendar,GMAIL_FETCH_MESSAGE_BY_MESSAGE_ID; GOOGLECALENDAR_ACL_PATCH,2,5,0.5,0.5,0.25,1,GMAIL_FETCH_MESSAGE_BY_MESSAGE_ID,,3,GMAIL_FETCH_EMAILS; GMAIL_SEARCH_PEOPLE; GOOGLECALENDAR_LIST_CALENDARS,GOOGLECALENDAR_ACL_PATCH,GOOGLECALENDAR_LIST_CALENDARS; GMAIL_FETCH_EMAILS; GMAIL_SEARCH_PEOPLE,gmail; googlecalendar,,2.36,2.36,,False,synthetic_multi_tool_evaluation\raw_search_results\synthetic-011.json
synthetic-012,"Hey team, we need to post our weekly progress report for the Q3 Mobile Redesign project in Linear. Once the update is posted, please take the attachment link confirming our updated design specs and attach it directly to our tracking issue LIN-402 so the reviewers can easily find it.",jira; linear; slack,LINEAR_CREATE_ATTACHMENT; LINEAR_CREATE_PROJECT_UPDATE,2,5,0.0,0.0,0.0,2,LINEAR_CREATE_ATTACHMENT; LINEAR_CREATE_PROJECT_UPDATE,,7,LINEAR_CREATE_LINEAR_COMMENT; LINEAR_GET_LINEAR_ISSUE; LINEAR_LIST_ISSUES_BY_TEAM_ID; LINEAR_LIST_LINEAR_STATES; LINEAR_RUN_QUERY_OR_MUTATION; LINEAR_SEARCH_ISSUES; LINEAR_UPDATE_ISSUE,LINEAR_UPDATE_ISSUE,LINEAR_SEARCH_ISSUES; LINEAR_LIST_ISSUES_BY_TEAM_ID; LINEAR_CREATE_LINEAR_COMMENT; LINEAR_RUN_QUERY_OR_MUTATION; LINEAR_LIST_LINEAR_STATES; LINEAR_GET_LINEAR_ISSUE,linear,,2.67,2.67,,False,synthetic_multi_tool_evaluation\raw_search_results\synthetic-012.json
synthetic-013,"We need to set up a dedicated workspace communication channel for the upcoming product launch and document our initial launch strategy right away. Please create a new public Slack channel named 'product-launch-2024' for the team, and also generate a new Google Doc titled 'Launch Strategy' with our opening notes to keep everyone aligned.",googledocs; googledrive; slack,GOOGLEDOCS_CREATE_DOCUMENT; SLACK_CREATE_CHANNEL_BASED_CONVERSATION,2,5,0.0,0.0,0.0,2,GOOGLEDOCS_CREATE_DOCUMENT; SLACK_CREATE_CHANNEL_BASED_CONVERSATION,,7,SLACK_CREATE_CHANNEL; SLACK_FIND_CHANNELS; SLACK_INVITE_USERS_TO_A_SLACK_CHANNEL; SLACK_LIST_ALL_CHANNELS; SLACK_SEND_MESSAGE; SLACK_SET_THE_TOPIC_OF_A_CONVERSATION; SLACK_TEST_AUTH,SLACK_CREATE_CHANNEL,SLACK_TEST_AUTH; SLACK_FIND_CHANNELS; SLACK_LIST_ALL_CHANNELS; SLACK_SET_THE_TOPIC_OF_A_CONVERSATION; SLACK_INVITE_USERS_TO_A_SLACK_CHANNEL; SLACK_SEND_MESSAGE,slack,,2.25,2.25,,False,synthetic_multi_tool_evaluation\raw_search_results\synthetic-013.json
synthetic-014,"Hey team, we are reorganizing our engineering permissions. Please add Sarah (username: sarah_dev) as a collaborator with push access to our main backend repository on GitHub. Additionally, fetch all the cycles for our core backend team ID in Linear so we can review our active sprint timeline and align our upcoming deliverables.",github; linear; slack,GITHUB_ADD_A_REPOSITORY_COLLABORATOR; LINEAR_GET_CYCLES_BY_TEAM_ID,2,5,1.0,0.5,0.2857,0,,GITHUB_ADD_A_REPOSITORY_COLLABORATOR,5,GITHUB_GET_REPOSITORY_PERMISSIONS_FOR_A_USER; GITHUB_LIST_REPOSITORY_COLLABORATORS; LINEAR_CREATE_LINEAR_ISSUE; LINEAR_LIST_LINEAR_CYCLES; LINEAR_UPDATE_ISSUE,LINEAR_GET_CYCLES_BY_TEAM_ID; GITHUB_LIST_REPOSITORY_COLLABORATORS,LINEAR_LIST_LINEAR_CYCLES; LINEAR_CREATE_LINEAR_ISSUE; LINEAR_UPDATE_ISSUE; GITHUB_GET_REPOSITORY_PERMISSIONS_FOR_A_USER; GITHUB_ADD_A_REPOSITORY_COLLABORATOR,github; linear,,2.46,2.46,,False,synthetic_multi_tool_evaluation\raw_search_results\synthetic-014.json
synthetic-015,"Hey team, we just finalized the project notes and uploaded the final design assets into our workspace documentation. Can you append the latest meeting summary text blocks to our main Notion project page, and then link the related ClickUp bug tracking task to the primary milestone task so we keep our tracking clean?",clickup; notion; slack,CLICKUP_ADD_TASK_LINK; NOTION_APPEND_TEXT_BLOCKS,2,5,0.0,0.0,0.0,2,CLICKUP_ADD_TASK_LINK; NOTION_APPEND_TEXT_BLOCKS,,9,CLICKUP_GET_TASK; CLICKUP_UPDATE_TASK; NOTION_APPEND_MEDIA_BLOCKS; NOTION_APPEND_TASK_BLOCKS; NOTION_CREATE_FILE_UPLOAD; NOTION_FETCH_BLOCK_CONTENTS; NOTION_SEARCH_NOTION_PAGE; NOTION_SEND_FILE_UPLOAD; NOTION_UPDATE_BLOCK,NOTION_APPEND_MEDIA_BLOCKS; NOTION_APPEND_TASK_BLOCKS; CLICKUP_UPDATE_TASK,NOTION_CREATE_FILE_UPLOAD; NOTION_SEND_FILE_UPLOAD; NOTION_FETCH_BLOCK_CONTENTS; NOTION_SEARCH_NOTION_PAGE; NOTION_UPDATE_BLOCK; CLICKUP_GET_TASK,clickup; notion,,2.95,2.95,,False,synthetic_multi_tool_evaluation\raw_search_results\synthetic-015.json
synthetic-016,"Hey team, we're kicking off our new infrastructure initiative. Please create a dedicated project in Linear for this effort, and then post an initial project status update detailing our goals and timeline for the upcoming quarter so everyone is aligned.",jira; linear; slack,LINEAR_CREATE_LINEAR_PROJECT; LINEAR_CREATE_PROJECT_UPDATE,2,5,0.5,0.5,0.2,1,LINEAR_CREATE_PROJECT_UPDATE,,4,LINEAR_GET_CURRENT_USER; LINEAR_LIST_LINEAR_PROJECTS; LINEAR_LIST_LINEAR_TEAMS; LINEAR_RUN_QUERY_OR_MUTATION,LINEAR_CREATE_LINEAR_PROJECT; LINEAR_RUN_QUERY_OR_MUTATION,LINEAR_LIST_LINEAR_TEAMS; LINEAR_LIST_LINEAR_PROJECTS; LINEAR_GET_CURRENT_USER,linear,,1.97,1.97,,False,synthetic_multi_tool_evaluation\raw_search_results\synthetic-016.json
synthetic-017,"Please review the details in the customer confirmation email I just received and create a new account entry in our CRM system with that company information. Afterwards, make sure to clean up and permanently remove the draft we no longer need from my email client.",gmail; hubspot; salesforce,GMAIL_DELETE_DRAFT; GMAIL_FETCH_MESSAGE_BY_MESSAGE_ID; SALESFORCE_CREATE_ACCOUNT,3,5,0.0,0.0,0.0,3,GMAIL_DELETE_DRAFT; GMAIL_FETCH_MESSAGE_BY_MESSAGE_ID; SALESFORCE_CREATE_ACCOUNT,,11,ALTOVIZ_DELETE_SALE_INVOICE; CENTRALSTATIONCRM_CREATE_COMPANIES; CENTRALSTATIONCRM_SEARCH_COMPANIES; CONSTANT_CONTACT_DELETE_EMAIL_CAMPAIGN; CONSTANT_CONTACT_GET_EMAIL_CAMPAIGN; CONSTANT_CONTACT_LIST_EMAIL_CAMPAIGNS; PIPELINE_CRM_CREATE_COMPANY; SQUARE_DELETE_INVOICE; STRIPE_DELETE_INVOICE; STRIPE_GET_INVOICES_INVOICE; STRIPE_VOID_INVOICE,CONSTANT_CONTACT_DELETE_EMAIL_CAMPAIGN; STRIPE_DELETE_INVOICE; CENTRALSTATIONCRM_CREATE_COMPANIES; ALTOVIZ_DELETE_SALE_INVOICE; PIPELINE_CRM_CREATE_COMPANY; SQUARE_DELETE_INVOICE,CONSTANT_CONTACT_LIST_EMAIL_CAMPAIGNS; CONSTANT_CONTACT_GET_EMAIL_CAMPAIGN; STRIPE_GET_INVOICES_INVOICE; STRIPE_VOID_INVOICE; CENTRALSTATIONCRM_SEARCH_COMPANIES,altoviz; centralstationcrm; constant_contact; pipeline_crm; square; stripe,ALTOVIZ; CENTRALSTATIONCRM; CONSTANT; PIPELINE; SQUARE; STRIPE,2.88,2.88,,False,synthetic_multi_tool_evaluation\raw_search_results\synthetic-017.json
synthetic-018,"I need to clean up my workspace by removing outdated records. Please delete the unsent draft regarding the old marketing campaign from my email account, and then archive the batch of defunct company profiles and associated CRM objects that we no longer use in our database.",gmail; hubspot,GMAIL_DELETE_DRAFT; HUBSPOT_ARCHIVE_BATCH_OF_OBJECTS; HUBSPOT_ARCHIVE_COMPANIES,3,5,0.3333,0.3333,0.25,2,GMAIL_DELETE_DRAFT; HUBSPOT_ARCHIVE_COMPANIES,,3,HUBSPOT_READ_APAGE_OF_OBJECTS_BY_TYPE; HUBSPOT_READ_BATCH_OF_CRM_OBJECTS_BY_ID_OR_PROPERTY_VALUES; HUBSPOT_SEARCH_CRM_OBJECTS_BY_CRITERIA,HUBSPOT_ARCHIVE_BATCH_OF_OBJECTS,HUBSPOT_READ_APAGE_OF_OBJECTS_BY_TYPE; HUBSPOT_SEARCH_CRM_OBJECTS_BY_CRITERIA; HUBSPOT_READ_BATCH_OF_CRM_OBJECTS_BY_ID_OR_PROPERTY_VALUES,hubspot,,3.01,3.01,,False,synthetic_multi_tool_evaluation\raw_search_results\synthetic-018.json
synthetic-019,"Please review the latest vendor email regarding our contract renewal, download the attached agreement document for my records, and then clean up our HubSpot CRM by archiving the outdated company profile associated with their old subsidiary ID.",gmail; hubspot,GMAIL_FETCH_MESSAGE_BY_MESSAGE_ID; GMAIL_GET_ATTACHMENT; HUBSPOT_ARCHIVE_COMPANIES,3,5,0.3333,0.3333,0.1429,2,GMAIL_FETCH_MESSAGE_BY_MESSAGE_ID; GMAIL_GET_ATTACHMENT,,6,HUBSPOT_ARCHIVE_COMPANY; HUBSPOT_ARCHIVE_CRM_OBJECT_BY_ID; HUBSPOT_GET_COMPANY; HUBSPOT_LIST_COMPANIES; HUBSPOT_PERMANENTLY_DELETE_CONTACT_VIA_GDPR; HUBSPOT_SEARCH_COMPANIES,HUBSPOT_ARCHIVE_COMPANY; HUBSPOT_ARCHIVE_COMPANIES,HUBSPOT_GET_COMPANY; HUBSPOT_SEARCH_COMPANIES; HUBSPOT_ARCHIVE_CRM_OBJECT_BY_ID; HUBSPOT_PERMANENTLY_DELETE_CONTACT_VIA_GDPR; HUBSPOT_LIST_COMPANIES,hubspot,,2.6,2.6,,False,synthetic_multi_tool_evaluation\raw_search_results\synthetic-019.json
synthetic-020,"Please retrieve the latest email messages from our client's thread ID to review their contact details, fetch our saved Google contacts to cross-reference their organizational data, and then forward the relevant message to our account manager for immediate follow-up.",gmail; hubspot; salesforce,GMAIL_FETCH_MESSAGE_BY_THREAD_ID; GMAIL_FORWARD_MESSAGE; GMAIL_GET_CONTACTS,3,5,0.3333,0.3333,0.1429,2,GMAIL_FORWARD_MESSAGE; GMAIL_GET_CONTACTS,,6,GMAIL_LIST_THREADS; GMAIL_MODIFY_THREAD_LABELS; GMAIL_REPLY_TO_THREAD; GOOGLESUPER_FETCH_MESSAGE_BY_THREAD_ID; GOOGLESUPER_LIST_THREADS; GOOGLESUPER_REPLY_TO_THREAD,GMAIL_FETCH_MESSAGE_BY_THREAD_ID; GOOGLESUPER_FETCH_MESSAGE_BY_THREAD_ID,GMAIL_LIST_THREADS; GMAIL_REPLY_TO_THREAD; GMAIL_MODIFY_THREAD_LABELS; GOOGLESUPER_LIST_THREADS; GOOGLESUPER_REPLY_TO_THREAD,gmail; googlesuper,GOOGLESUPER,3.46,3.46,,False,synthetic_multi_tool_evaluation\raw_search_results\synthetic-020.json
